log_id,equipment_id,maintenance_date,maintenance_type,symptom,action_taken,parts_replaced,downtime_minutes,technician_notes,linked_failure_report_id
ML-0326,EQ-010,2026-05-19,Calibration,routine inspection,cleaned filter,SP-COUPLING-001,52,Routine maintenance record for Air Compressor.,
ML-0327,EQ-001,2026-05-03,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,19,Routine maintenance record for Caster Hydraulic Pump.,
ML-0328,EQ-009,2026-05-21,Calibration,no abnormality observed,cleaned filter,SP-CONTACTOR-001,47,Routine maintenance record for Scale Breaker Motor.,
ML-0329,EQ-011,2026-05-08,Lubrication,routine inspection,cleaned filter,,34,Routine maintenance record for Lubrication Pump.,
ML-0330,EQ-004,2026-06-18,Calibration,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,7,Routine maintenance record for Ladle Crane Gearbox.,
ML-0331,EQ-009,2026-05-10,Inspection,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,47,Routine maintenance record for Scale Breaker Motor.,
ML-0332,EQ-003,2026-06-22,Inspection,routine inspection,cleaned filter,SP-BEAR-001,36,Routine maintenance record for Blast Furnace Blower.,
ML-0333,EQ-004,2026-05-11,Inspection,routine inspection,checked alignment,SP-BEAR-001,45,Routine maintenance record for Ladle Crane Gearbox.,
ML-0334,EQ-011,2026-06-28,Calibration,routine inspection,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",,74,Routine maintenance record for Lubrication Pump.,
ML-0335,EQ-009,2026-06-17,Lubrication,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,68,Routine maintenance record for Scale Breaker Motor.,
ML-0336,EQ-001,2026-06-03,Preventive,routine inspection,topped up lubricant,,3,Routine maintenance record for Caster Hydraulic Pump.,
ML-0337,EQ-012,2026-06-04,Inspection,no abnormality observed,cleaned filter,,29,Routine maintenance record for Cooling Tower Fan.,
ML-0338,EQ-012,2026-05-05,Calibration,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,49,Routine maintenance record for Cooling Tower Fan.,
ML-0339,EQ-007,2026-05-22,Calibration,high vibration during load changes,topped up lubricant,,75,Routine maintenance record for Dust Collector Fan.,
ML-0340,EQ-004,2026-06-16,Lubrication,no abnormality observed,checked alignment,,41,Routine maintenance record for Ladle Crane Gearbox.,
ML-0341,EQ-010,2026-05-17,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,16,Routine maintenance record for Air Compressor.,
ML-0342,EQ-011,2026-05-03,Calibration,no abnormality observed,checked alignment,,72,Routine maintenance record for Lubrication Pump.,
ML-0343,EQ-002,2026-05-03,Inspection,routine inspection,cleaned filter,SP-FILTER-002,65,Routine maintenance record for Rolling Mill Main Motor.,
ML-0344,EQ-005,2026-05-09,Inspection,no abnormality observed,checked alignment,,62,Routine maintenance record for Cooling Water Pump.,
ML-0345,EQ-010,2026-06-29,Inspection,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001,81,Routine maintenance record for Air Compressor.,
ML-0346,EQ-011,2026-05-23,Preventive,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,86,Routine maintenance record for Lubrication Pump.,
ML-0347,EQ-011,2026-06-13,Lubrication,no abnormality observed,checked alignment,,53,Routine maintenance record for Lubrication Pump.,
ML-0348,EQ-007,2026-06-26,Calibration,high vibration during load changes,checked alignment,,16,Routine maintenance record for Dust Collector Fan.,
ML-0349,EQ-001,2026-06-15,Preventive,rising vibration and abnormal bearing noise,checked alignment,,5,Routine maintenance record for Caster Hydraulic Pump.,
ML-0350,EQ-009,2026-06-07,Preventive,no abnormality observed,cleaned filter,,48,Routine maintenance record for Scale Breaker Motor.,
ML-0351,EQ-004,2026-05-12,Calibration,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001,38,Routine maintenance record for Ladle Crane Gearbox.,
ML-0352,EQ-012,2026-06-01,Inspection,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,48,Routine maintenance record for Cooling Tower Fan.,
ML-0353,EQ-008,2026-05-10,Lubrication,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,12,Routine maintenance record for Reheat Furnace Burner.,
ML-0354,EQ-002,2026-05-27,Preventive,no abnormality observed,topped up lubricant,,65,Routine maintenance record for Rolling Mill Main Motor.,
ML-0355,EQ-012,2026-05-22,Calibration,no abnormality observed,checked alignment,,9,Routine maintenance record for Cooling Tower Fan.,
ML-0356,EQ-012,2026-05-23,Calibration,routine inspection,checked alignment,SP-FILTER-002,1,Routine maintenance record for Cooling Tower Fan.,
ML-0357,EQ-010,2026-05-03,Inspection,no abnormality observed,cleaned filter,SP-BEAR-001,17,Routine maintenance record for Air Compressor.,
ML-0358,EQ-012,2026-06-26,Lubrication,no abnormality observed,checked alignment,,1,Routine maintenance record for Cooling Tower Fan.,
ML-0359,EQ-011,2026-06-12,Lubrication,no abnormality observed,checked alignment,,76,Routine maintenance record for Lubrication Pump.,
ML-0360,EQ-002,2026-06-11,Calibration,no abnormality observed,checked alignment,SP-FILTER-002,29,Routine maintenance record for Rolling Mill Main Motor.,
ML-0361,EQ-012,2026-05-07,Lubrication,temperature rise with reduced coolant flow,cleaned filter,SP-FILTER-002,43,Routine maintenance record for Cooling Tower Fan.,
ML-0362,EQ-003,2026-05-01,Calibration,no abnormality observed,cleaned filter,,81,Routine maintenance record for Blast Furnace Blower.,
ML-0363,EQ-010,2026-05-29,Lubrication,no abnormality observed,checked alignment,,4,Routine maintenance record for Air Compressor.,
ML-0364,EQ-008,2026-05-23,Inspection,no abnormality observed,topped up lubricant,,54,Routine maintenance record for Reheat Furnace Burner.,
ML-0365,EQ-008,2026-05-16,Calibration,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,73,Routine maintenance record for Reheat Furnace Burner.,
ML-0366,EQ-009,2026-06-09,Preventive,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,41,Routine maintenance record for Scale Breaker Motor.,
ML-0367,EQ-012,2026-05-03,Preventive,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001,25,Routine maintenance record for Cooling Tower Fan.,
ML-0368,EQ-012,2026-05-07,Preventive,no abnormality observed,topped up lubricant,,35,Routine maintenance record for Cooling Tower Fan.,
ML-0369,EQ-008,2026-06-01,Lubrication,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,86,Routine maintenance record for Reheat Furnace Burner.,
ML-0370,EQ-003,2026-05-17,Inspection,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,52,Routine maintenance record for Blast Furnace Blower.,
ML-0371,EQ-003,2026-06-29,Lubrication,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,7,Routine maintenance record for Blast Furnace Blower.,
ML-0372,EQ-011,2026-06-09,Calibration,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,15,Routine maintenance record for Lubrication Pump.,
ML-0373,EQ-006,2026-06-28,Inspection,routine inspection,cleaned filter,,27,Routine maintenance record for Conveyor Drive Unit.,
ML-0374,EQ-001,2026-06-08,Calibration,no abnormality observed,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001,86,Routine maintenance record for Caster Hydraulic Pump.,
ML-0375,EQ-007,2026-06-30,Preventive,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,5,Routine maintenance record for Dust Collector Fan.,
ML-0376,EQ-009,2026-06-24,Lubrication,routine inspection,topped up lubricant,,51,Routine maintenance record for Scale Breaker Motor.,
ML-0377,EQ-011,2026-05-24,Preventive,no abnormality observed,topped up lubricant,SP-SEAL-001,20,Routine maintenance record for Lubrication Pump.,
ML-0378,EQ-003,2026-05-17,Preventive,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,54,Routine maintenance record for Blast Furnace Blower.,
ML-0379,EQ-011,2026-06-25,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,65,Routine maintenance record for Lubrication Pump.,
ML-0380,EQ-005,2026-06-23,Lubrication,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001,66,Routine maintenance record for Cooling Water Pump.,
ML-0381,EQ-011,2026-06-03,Inspection,no abnormality observed,topped up lubricant,SP-OIL-001,6,Routine maintenance record for Lubrication Pump.,
ML-0382,EQ-012,2026-06-10,Calibration,routine inspection,topped up lubricant,SP-BEAR-001,77,Routine maintenance record for Cooling Tower Fan.,
ML-0383,EQ-012,2026-06-05,Inspection,routine inspection,cleaned filter,SP-COUPLING-001,69,Routine maintenance record for Cooling Tower Fan.,
ML-0384,EQ-001,2026-06-07,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,68,Routine maintenance record for Caster Hydraulic Pump.,
ML-0385,EQ-003,2026-06-13,Lubrication,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,73,Routine maintenance record for Blast Furnace Blower.,
ML-0386,EQ-001,2026-06-12,Preventive,oil level drop with heat buildup,cleaned filter,SP-OIL-001,80,Routine maintenance record for Caster Hydraulic Pump.,
ML-0387,EQ-003,2026-06-28,Lubrication,temperature rise with reduced coolant flow,checked alignment,,3,Routine maintenance record for Blast Furnace Blower.,
ML-0388,EQ-001,2026-06-15,Inspection,routine inspection,checked alignment,SP-SEAL-001,55,Routine maintenance record for Caster Hydraulic Pump.,
ML-0389,EQ-002,2026-06-15,Inspection,no abnormality observed,"check load coupling, verify phase current balance, inspect motor winding temperature",,21,Routine maintenance record for Rolling Mill Main Motor.,
ML-0390,EQ-008,2026-06-19,Inspection,current spike and repeated overload trip,topped up lubricant,,23,Routine maintenance record for Reheat Furnace Burner.,
ML-0391,EQ-011,2026-05-02,Preventive,no abnormality observed,topped up lubricant,SP-OIL-001,83,Routine maintenance record for Lubrication Pump.,
ML-0392,EQ-004,2026-05-20,Lubrication,routine inspection,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,64,Routine maintenance record for Ladle Crane Gearbox.,
ML-0393,EQ-008,2026-05-11,Inspection,routine inspection,cleaned filter,SP-CONTACTOR-001,9,Routine maintenance record for Reheat Furnace Burner.,
ML-0394,EQ-012,2026-06-08,Preventive,routine inspection,checked alignment,SP-COUPLING-001,83,Routine maintenance record for Cooling Tower Fan.,
ML-0395,EQ-007,2026-06-27,Preventive,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,71,Routine maintenance record for Dust Collector Fan.,
ML-0396,EQ-011,2026-06-09,Calibration,oil level drop with heat buildup,cleaned filter,,73,Routine maintenance record for Lubrication Pump.,
ML-0397,EQ-011,2026-06-30,Calibration,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,50,Routine maintenance record for Lubrication Pump.,
ML-0398,EQ-012,2026-06-10,Lubrication,no abnormality observed,checked alignment,,48,Routine maintenance record for Cooling Tower Fan.,
ML-0399,EQ-010,2026-05-13,Preventive,no abnormality observed,cleaned filter,,54,Routine maintenance record for Air Compressor.,
ML-0400,EQ-010,2026-05-26,Calibration,no abnormality observed,topped up lubricant,,52,Routine maintenance record for Air Compressor.,
ML-0401,EQ-001,2026-05-10,Inspection,no abnormality observed,topped up lubricant,SP-OIL-001,43,Routine maintenance record for Caster Hydraulic Pump.,
ML-0402,EQ-012,2026-05-31,Inspection,temperature rise with reduced coolant flow,cleaned filter,,80,Routine maintenance record for Cooling Tower Fan.,
ML-0403,EQ-012,2026-06-16,Calibration,high vibration during load changes,checked alignment,SP-COUPLING-001,37,Routine maintenance record for Cooling Tower Fan.,
ML-0404,EQ-007,2026-06-15,Calibration,routine inspection,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001,12,Routine maintenance record for Dust Collector Fan.,
ML-0405,EQ-012,2026-05-31,Calibration,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,79,Routine maintenance record for Cooling Tower Fan.,
ML-0406,EQ-002,2026-05-21,Inspection,routine inspection,topped up lubricant,SP-CONTACTOR-001,34,Routine maintenance record for Rolling Mill Main Motor.,
ML-0407,EQ-001,2026-06-19,Preventive,routine inspection,checked alignment,SP-SEAL-001,25,Routine maintenance record for Caster Hydraulic Pump.,
ML-0408,EQ-002,2026-06-12,Inspection,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,21,Routine maintenance record for Rolling Mill Main Motor.,
ML-0409,EQ-009,2026-06-29,Calibration,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,27,Routine maintenance record for Scale Breaker Motor.,
ML-0410,EQ-007,2026-05-24,Calibration,no abnormality observed,checked alignment,,55,Routine maintenance record for Dust Collector Fan.,
ML-0411,EQ-003,2026-05-12,Preventive,routine inspection,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,1,Routine maintenance record for Blast Furnace Blower.,
ML-0412,EQ-011,2026-05-21,Preventive,routine inspection,topped up lubricant,,52,Routine maintenance record for Lubrication Pump.,
ML-0413,EQ-002,2026-05-18,Calibration,no abnormality observed,cleaned filter,SP-FILTER-002,86,Routine maintenance record for Rolling Mill Main Motor.,
ML-0414,EQ-011,2026-06-15,Preventive,pressure drop with increasing pump temperature,cleaned filter,,65,Routine maintenance record for Lubrication Pump.,
ML-0415,EQ-011,2026-05-14,Inspection,routine inspection,cleaned filter,,79,Routine maintenance record for Lubrication Pump.,
ML-0416,EQ-010,2026-05-13,Lubrication,routine inspection,topped up lubricant,,31,Routine maintenance record for Air Compressor.,
ML-0417,EQ-005,2026-05-12,Inspection,routine inspection,checked alignment,,42,Routine maintenance record for Cooling Water Pump.,
ML-0418,EQ-011,2026-05-14,Inspection,pressure drop with increasing pump temperature,cleaned filter,SP-SEAL-001,41,Routine maintenance record for Lubrication Pump.,
ML-0419,EQ-006,2026-06-15,Inspection,routine inspection,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001,76,Routine maintenance record for Conveyor Drive Unit.,
ML-0420,EQ-002,2026-05-16,Lubrication,temperature rise with reduced coolant flow,topped up lubricant,,48,Routine maintenance record for Rolling Mill Main Motor.,
ML-0421,EQ-012,2026-06-10,Inspection,routine inspection,cleaned filter,,26,Routine maintenance record for Cooling Tower Fan.,
ML-0422,EQ-010,2026-05-08,Calibration,rising vibration and abnormal bearing noise,checked alignment,,33,Routine maintenance record for Air Compressor.,
ML-0423,EQ-004,2026-06-08,Calibration,routine inspection,topped up lubricant,SP-OIL-001,46,Routine maintenance record for Ladle Crane Gearbox.,
ML-0424,EQ-009,2026-06-08,Inspection,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",,34,Routine maintenance record for Scale Breaker Motor.,
ML-0425,EQ-001,2026-06-13,Lubrication,temperature rise with reduced coolant flow,checked alignment,SP-FILTER-002,5,Routine maintenance record for Caster Hydraulic Pump.,
ML-0426,EQ-004,2026-06-18,Preventive,routine inspection,topped up lubricant,SP-OIL-001,38,Routine maintenance record for Ladle Crane Gearbox.,
ML-0427,EQ-005,2026-06-29,Calibration,pressure drop with increasing pump temperature,cleaned filter,,53,Routine maintenance record for Cooling Water Pump.,
ML-0428,EQ-009,2026-05-18,Lubrication,routine inspection,topped up lubricant,SP-BEAR-001,28,Routine maintenance record for Scale Breaker Motor.,
ML-0429,EQ-004,2026-05-05,Inspection,no abnormality observed,cleaned filter,SP-OIL-001,12,Routine maintenance record for Ladle Crane Gearbox.,
ML-0430,EQ-007,2026-05-13,Preventive,routine inspection,topped up lubricant,SP-COUPLING-001,26,Routine maintenance record for Dust Collector Fan.,
ML-0431,EQ-007,2026-05-14,Lubrication,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001,10,Routine maintenance record for Dust Collector Fan.,
ML-0432,EQ-002,2026-05-23,Preventive,temperature rise with reduced coolant flow,cleaned filter,,28,Routine maintenance record for Rolling Mill Main Motor.,
ML-0433,EQ-008,2026-05-10,Lubrication,routine inspection,cleaned filter,,84,Routine maintenance record for Reheat Furnace Burner.,
ML-0434,EQ-010,2026-06-12,Preventive,no abnormality observed,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,29,Routine maintenance record for Air Compressor.,
ML-0435,EQ-008,2026-06-12,Calibration,no abnormality observed,"check load coupling, verify phase current balance, inspect motor winding temperature",,41,Routine maintenance record for Reheat Furnace Burner.,
ML-0436,EQ-004,2026-06-19,Calibration,high vibration during load changes,checked alignment,SP-COUPLING-001,33,Routine maintenance record for Ladle Crane Gearbox.,
ML-0437,EQ-010,2026-06-04,Lubrication,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,79,Routine maintenance record for Air Compressor.,
ML-0438,EQ-001,2026-05-31,Lubrication,routine inspection,topped up lubricant,,26,Routine maintenance record for Caster Hydraulic Pump.,
ML-0439,EQ-007,2026-06-09,Calibration,temperature rise with reduced coolant flow,checked alignment,,52,Routine maintenance record for Dust Collector Fan.,
ML-0440,EQ-007,2026-06-04,Calibration,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,32,Routine maintenance record for Dust Collector Fan.,
ML-0441,EQ-009,2026-06-09,Calibration,routine inspection,cleaned filter,SP-BEAR-001,0,Routine maintenance record for Scale Breaker Motor.,
ML-0442,EQ-006,2026-05-24,Inspection,no abnormality observed,topped up lubricant,SP-BEAR-001,88,Routine maintenance record for Conveyor Drive Unit.,
ML-0443,EQ-003,2026-05-03,Inspection,no abnormality observed,checked alignment,SP-BEAR-001,16,Routine maintenance record for Blast Furnace Blower.,
ML-0444,EQ-004,2026-05-02,Preventive,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,32,Routine maintenance record for Ladle Crane Gearbox.,
ML-0445,EQ-002,2026-05-06,Lubrication,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001,56,Routine maintenance record for Rolling Mill Main Motor.,
ML-0446,EQ-003,2026-06-30,Preventive,no abnormality observed,checked alignment,SP-BEAR-001,57,Routine maintenance record for Blast Furnace Blower.,
ML-0447,EQ-006,2026-06-21,Inspection,routine inspection,topped up lubricant,SP-FILTER-002,49,Routine maintenance record for Conveyor Drive Unit.,
ML-0448,EQ-002,2026-06-02,Lubrication,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,54,Routine maintenance record for Rolling Mill Main Motor.,
ML-0449,EQ-010,2026-05-06,Inspection,routine inspection,topped up lubricant,,51,Routine maintenance record for Air Compressor.,
ML-0450,EQ-012,2026-06-02,Inspection,no abnormality observed,cleaned filter,SP-COUPLING-001,34,Routine maintenance record for Cooling Tower Fan.,
ML-0451,EQ-001,2026-05-29,Preventive,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,29,Routine maintenance record for Caster Hydraulic Pump.,
ML-0452,EQ-002,2026-05-05,Lubrication,temperature rise with reduced coolant flow,cleaned filter,,0,Routine maintenance record for Rolling Mill Main Motor.,
ML-0453,EQ-005,2026-06-06,Lubrication,routine inspection,cleaned filter,SP-BEAR-001,69,Routine maintenance record for Cooling Water Pump.,
ML-0454,EQ-007,2026-06-23,Calibration,temperature rise with reduced coolant flow,checked alignment,SP-FILTER-002,5,Routine maintenance record for Dust Collector Fan.,
ML-0455,EQ-002,2026-05-25,Inspection,routine inspection,checked alignment,SP-BEAR-001,7,Routine maintenance record for Rolling Mill Main Motor.,
ML-0456,EQ-005,2026-06-15,Inspection,no abnormality observed,cleaned filter,SP-BEAR-001,7,Routine maintenance record for Cooling Water Pump.,
ML-0457,EQ-006,2026-05-29,Inspection,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,24,Routine maintenance record for Conveyor Drive Unit.,
ML-0458,EQ-001,2026-06-19,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,14,Routine maintenance record for Caster Hydraulic Pump.,
ML-0459,EQ-001,2026-05-01,Preventive,routine inspection,topped up lubricant,SP-OIL-001,83,Routine maintenance record for Caster Hydraulic Pump.,
ML-0460,EQ-002,2026-06-21,Calibration,no abnormality observed,cleaned filter,SP-FILTER-002,27,Routine maintenance record for Rolling Mill Main Motor.,
ML-0461,EQ-009,2026-05-10,Lubrication,routine inspection,checked alignment,SP-FILTER-002,67,Routine maintenance record for Scale Breaker Motor.,
ML-0462,EQ-011,2026-06-05,Lubrication,no abnormality observed,cleaned filter,,10,Routine maintenance record for Lubrication Pump.,
ML-0463,EQ-008,2026-05-19,Preventive,no abnormality observed,cleaned filter,,16,Routine maintenance record for Reheat Furnace Burner.,
ML-0464,EQ-009,2026-06-17,Inspection,rising vibration and abnormal bearing noise,cleaned filter,,88,Routine maintenance record for Scale Breaker Motor.,
ML-0465,EQ-008,2026-05-13,Preventive,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,0,Routine maintenance record for Reheat Furnace Burner.,
ML-0466,EQ-001,2026-05-31,Lubrication,oil level drop with heat buildup,cleaned filter,,43,Routine maintenance record for Caster Hydraulic Pump.,
ML-0467,EQ-001,2026-05-26,Inspection,routine inspection,checked alignment,,57,Routine maintenance record for Caster Hydraulic Pump.,
ML-0468,EQ-005,2026-05-25,Calibration,routine inspection,checked alignment,SP-OIL-001,32,Routine maintenance record for Cooling Water Pump.,
ML-0469,EQ-008,2026-05-08,Calibration,no abnormality observed,topped up lubricant,SP-BEAR-001,58,Routine maintenance record for Reheat Furnace Burner.,
ML-0470,EQ-005,2026-05-24,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,61,Routine maintenance record for Cooling Water Pump.,
ML-0471,EQ-012,2026-05-03,Calibration,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,29,Routine maintenance record for Cooling Tower Fan.,
ML-0472,EQ-004,2026-05-06,Calibration,high vibration during load changes,checked alignment,SP-COUPLING-001,6,Routine maintenance record for Ladle Crane Gearbox.,
ML-0473,EQ-003,2026-05-18,Inspection,routine inspection,cleaned filter,,34,Routine maintenance record for Blast Furnace Blower.,
ML-0474,EQ-008,2026-06-25,Preventive,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,62,Routine maintenance record for Reheat Furnace Burner.,
ML-0475,EQ-007,2026-06-02,Calibration,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,61,Routine maintenance record for Dust Collector Fan.,
ML-0476,EQ-004,2026-06-24,Calibration,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,58,Routine maintenance record for Ladle Crane Gearbox.,
ML-0477,EQ-003,2026-05-06,Inspection,rising vibration and abnormal bearing noise,topped up lubricant,,33,Routine maintenance record for Blast Furnace Blower.,
ML-0478,EQ-011,2026-05-07,Calibration,no abnormality observed,checked alignment,SP-BEAR-001,35,Routine maintenance record for Lubrication Pump.,
ML-0479,EQ-008,2026-06-28,Inspection,temperature rise with reduced coolant flow,cleaned filter,SP-FILTER-002,86,Routine maintenance record for Reheat Furnace Burner.,
ML-0480,EQ-008,2026-05-26,Inspection,rising vibration and abnormal bearing noise,cleaned filter,,53,Routine maintenance record for Reheat Furnace Burner.,
ML-0481,EQ-006,2026-05-09,Preventive,routine inspection,topped up lubricant,SP-CONTACTOR-001,58,Routine maintenance record for Conveyor Drive Unit.,
ML-0482,EQ-009,2026-06-11,Lubrication,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,74,Routine maintenance record for Scale Breaker Motor.,
ML-0483,EQ-008,2026-05-10,Lubrication,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,87,Routine maintenance record for Reheat Furnace Burner.,
ML-0484,EQ-010,2026-06-19,Preventive,routine inspection,checked alignment,SP-COUPLING-001,43,Routine maintenance record for Air Compressor.,
ML-0485,EQ-011,2026-05-06,Lubrication,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,69,Routine maintenance record for Lubrication Pump.,
ML-0486,EQ-003,2026-05-27,Inspection,rising vibration and abnormal bearing noise,topped up lubricant,,45,Routine maintenance record for Blast Furnace Blower.,
ML-0487,EQ-005,2026-06-12,Calibration,routine inspection,checked alignment,,43,Routine maintenance record for Cooling Water Pump.,
ML-0488,EQ-002,2026-06-21,Calibration,temperature rise with reduced coolant flow,cleaned filter,SP-FILTER-002,85,Routine maintenance record for Rolling Mill Main Motor.,
ML-0489,EQ-003,2026-05-10,Preventive,temperature rise with reduced coolant flow,topped up lubricant,,9,Routine maintenance record for Blast Furnace Blower.,
ML-0490,EQ-002,2026-05-06,Inspection,current spike and repeated overload trip,topped up lubricant,SP-CONTACTOR-001,74,Routine maintenance record for Rolling Mill Main Motor.,
ML-0491,EQ-008,2026-06-06,Inspection,no abnormality observed,cleaned filter,,23,Routine maintenance record for Reheat Furnace Burner.,
ML-0492,EQ-003,2026-06-15,Lubrication,temperature rise with reduced coolant flow,checked alignment,,80,Routine maintenance record for Blast Furnace Blower.,
ML-0493,EQ-006,2026-05-20,Inspection,routine inspection,cleaned filter,,62,Routine maintenance record for Conveyor Drive Unit.,
ML-0494,EQ-002,2026-06-23,Lubrication,routine inspection,topped up lubricant,,33,Routine maintenance record for Rolling Mill Main Motor.,
ML-0495,EQ-008,2026-05-08,Lubrication,no abnormality observed,topped up lubricant,SP-CONTACTOR-001,54,Routine maintenance record for Reheat Furnace Burner.,
ML-0496,EQ-002,2026-06-06,Calibration,no abnormality observed,checked alignment,,80,Routine maintenance record for Rolling Mill Main Motor.,
ML-0497,EQ-008,2026-06-30,Preventive,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,50,Routine maintenance record for Reheat Furnace Burner.,
ML-0498,EQ-010,2026-05-30,Calibration,no abnormality observed,cleaned filter,,35,Routine maintenance record for Air Compressor.,
ML-0499,EQ-003,2026-05-22,Lubrication,routine inspection,topped up lubricant,,6,Routine maintenance record for Blast Furnace Blower.,
ML-0500,EQ-005,2026-06-18,Lubrication,routine inspection,checked alignment,,45,Routine maintenance record for Cooling Water Pump.,
